recebidoEm,dispositivo,seq,ts,latenciaMs,perdidas,estado,pir,temperatura,umidade,lux,luz,hvac
1790093422179,sala01,5,1790093422178,1,0,DESOCUPADO,0,28,55,120,0,0
1790093424185,sala01,6,1790093424184,1,0,DESOCUPADO,0,28,55,120,0,0
1790093426192,sala01,7,1790093426191,1,0,DESOCUPADO,0,28,55,120,0,0
1790093428208,sala01,8,1790093428207,1,0,DESOCUPADO,0,28,55,120,0,0
1790093430216,sala01,9,1790093430215,1,0,DESOCUPADO,0,28,55,120,0,0
1790093432222,sala01,10,1790093432221,1,0,DESOCUPADO,0,28,55,120,0,0
1790093434226,sala01,11,1790093434225,1,0,DESOCUPADO,0,28,55,120,0,0
1790093436234,sala01,12,1790093436233,1,0,DESOCUPADO,0,28,55,120,0,0
1790093438241,sala01,13,1790093438240,1,0,DESOCUPADO,0,28,55,120,0,0
1790093440248,sala01,14,1790093440247,1,0,DESOCUPADO,0,28,55,120,0,0
1790093442253,sala01,15,1790093442253,0,0,DESOCUPADO,0,28,55,120,0,0
1790093444260,sala01,16,1790093444260,0,0,DESOCUPADO,0,28,55,120,0,0
1790093446267,sala01,17,1790093446267,0,0,DESOCUPADO,0,28,55,120,0,0
1790093448274,sala01,18,1790093448273,1,0,DESOCUPADO,0,28,55,120,0,0
1790093450281,sala01,19,1790093450280,1,0,DESOCUPADO,0,28,55,120,0,0
1790093452286,sala01,20,1790093452286,0,0,DESOCUPADO,0,28,55,120,0,0
1790093454293,sala01,21,1790093454292,1,0,DESOCUPADO,0,28,55,120,0,0
1790093456300,sala01,22,1790093456299,1,0,DESOCUPADO,0,28,55,120,0,0
1790093458308,sala01,23,1790093458307,1,0,DESOCUPADO,0,28,55,120,0,0
1790093460316,sala01,24,1790093460315,1,0,DESOCUPADO,0,28,55,120,0,0
1790093462323,sala01,25,1790093462322,1,0,DESOCUPADO,0,28,55,120,0,0
1790093464329,sala01,26,1790093464328,1,0,DESOCUPADO,0,28,55,120,0,0
1790093466335,sala01,27,1790093466334,1,0,DESOCUPADO,0,28,55,120,0,0
1790093468343,sala01,28,1790093468342,1,0,DESOCUPADO,0,28,55,120,0,0
1790093470358,sala01,29,1790093470355,3,0,DESOCUPADO,0,28,55,120,0,0
1790093472361,sala01,30,1790093472360,1,0,DESOCUPADO,0,28,55,120,0,0
1790093474367,sala01,31,1790093474367,0,0,DESOCUPADO,0,28,55,120,0,0
1790093476373,sala01,32,1790093476371,2,0,DESOCUPADO,0,28,55,120,0,0
1790093478379,sala01,33,1790093478379,0,0,DESOCUPADO,0,28,55,120,0,0
1790093480388,sala01,34,1790093480387,1,0,DESOCUPADO,0,28,55,120,0,0
1790093482394,sala01,35,1790093482394,0,0,DESOCUPADO,0,28,55,120,0,0
1790093484401,sala01,36,1790093484400,1,0,DESOCUPADO,0,28,55,120,0,0
1790093486408,sala01,37,1790093486407,1,0,DESOCUPADO,0,28,55,120,0,0
1790093488415,sala01,38,1790093488414,1,0,DESOCUPADO,0,28,55,120,0,0
1790093490425,sala01,39,1790093490424,1,0,DESOCUPADO,0,28,55,120,0,0
1790093492432,sala01,40,1790093492431,1,0,DESOCUPADO,0,28,55,120,0,0
1790093494482,sala01,41,1790093494481,1,0,DESOCUPADO,0,28,55,120,0,0
1790093496489,sala01,42,1790093496488,1,0,DESOCUPADO,0,28,55,120,0,0
1790093498495,sala01,43,1790093498495,0,0,DESOCUPADO,0,28,55,120,0,0
1790093500503,sala01,44,1790093500501,2,0,DESOCUPADO,0,28,55,120,0,0
1790093502509,sala01,45,1790093502509,0,0,DESOCUPADO,0,28,55,120,0,0
1790093504516,sala01,46,1790093504515,1,0,DESOCUPADO,0,28,55,120,0,0
1790093506524,sala01,47,1790093506523,1,0,DESOCUPADO,0,28,55,120,0,0
