recebidoEm,dispositivo,seq,ts,latenciaMs,perdidas,estado,pir,temperatura,umidade,lux,luz,hvac
1790175765163,sala01,0,1790175765163,0,0,DESOCUPADO,0,28,55,120,0,0
1790175767163,sala01,1,1790175767163,0,0,DESOCUPADO,0,28,55,120,0,0
1790175769163,sala01,2,1790175769163,0,0,DESOCUPADO,0,28,55,120,0,0
1790175771163,sala01,3,1790175771163,0,0,DESOCUPADO,0,28,55,120,0,0
1790175773163,sala01,4,1790175773163,0,0,DESOCUPADO,0,28,55,120,0,0
1790175775163,sala01,5,1790175775163,0,0,OCUPADO,1,28,55,120,1,1
1790175777163,sala01,6,1790175777163,0,0,OCUPADO,1,28,55,120,1,1
1790175779163,sala01,7,1790175779163,0,0,OCUPADO,1,28,55,120,1,1
1790175781163,sala01,8,1790175781163,0,0,OCUPADO,0,28,55,120,1,1
1790175783163,sala01,9,1790175783163,0,0,OCUPADO,0,28,55,120,1,1
1790175785163,sala01,10,1790175785163,0,0,OCUPADO,0,28,55,120,1,1
1790175787163,sala01,11,1790175787163,0,0,OCUPADO,0,28,55,120,1,1
1790175789163,sala01,12,1790175789163,0,0,OCUPADO,0,28,55,120,1,1
1790175791163,sala01,13,1790175791163,0,0,OCUPADO,0,28,55,120,1,1
1790175793163,sala01,14,1790175793163,0,0,OCUPADO,0,28,55,120,1,1
