recebidoEm,dispositivo,seq,ts,latenciaMs,perdidas,estado,pir,temperatura,umidade,lux,luz,hvac
1790175765163,sala01,0,1790175765163,0,0,DESOCUPADO,0,28,55,120,0,0
1790175767163,sala01,1,1790175767163,0,0,DESOCUPADO,0,28,55,120,0,0
1790175769163,sala01,2,1790175769163,0,0,DESOCUPADO,0,28,55,120,0,0
1790175771163,sala01,3,1790175771163,0,0,DESOCUPADO,0,28,55,120,0,0
1790175773163,sala01,4,1790175773163,0,0,DESOCUPADO,0,28,55,120,0,0
1790175775163,sala01,5,1790175775163,0,0,OCUPADO,1,28,55,120,1,1
1790175777163,sala01,6,1790175777163,0,0,OCUPADO,1,28,55,120,1,1
1790175779163,sala01,7,1790175779163,0,0,OCUPADO,1,28,55,120,1,1
1790175781163,sala01,8,1790175781163,0,0,OCUPADO,0,28,55,120,1,1
1790175783163,sala01,9,1790175783163,0,0,OCUPADO,0,28,55,120,1,1
1790175785163,sala01,10,1790175785163,0,0,OCUPADO,0,28,55,600,0,1
1790175787163,sala01,11,1790175787163,0,0,OCUPADO,0,28,55,600,0,1
1790175789163,sala01,12,1790175789163,0,0,OCUPADO,0,28,55,600,0,1
1790175790163,sala01,13,1790175790163,0,0,OCUPADO,0,28,55,120,1,1
1790175792163,sala01,14,1790175792163,0,0,OCUPADO,0,28,55,120,1,1
1790175794163,sala01,15,1790175794163,0,0,OCUPADO,0,28,55,120,1,1
1790175795163,sala01,16,1790175795163,0,0,OCUPADO,0,28,55,120,1,0
1790175797163,sala01,17,1790175797163,0,0,OCUPADO,0,28,55,120,1,0
1790175799163,sala01,18,1790175799163,0,0,OCUPADO,0,28,55,120,1,0
1790175800163,sala01,19,1790175800163,0,0,OCUPADO,0,28,55,120,1,1
1790175802163,sala01,20,1790175802163,0,0,OCUPADO,0,28,55,120,1,1
1790175804163,sala01,21,1790175804163,0,0,OCUPADO,0,28,55,120,1,1
1790175806163,sala01,22,1790175806163,0,0,OCUPADO,0,28,55,120,1,1
1790175808163,sala01,23,1790175808163,0,0,OCUPADO,0,28,55,120,1,1
1790175810163,sala01,24,1790175810163,0,0,DESOCUPADO,0,28,55,120,0,0
1790175812163,sala01,25,1790175812163,0,0,DESOCUPADO,0,28,55,120,0,0
1790175814163,sala01,26,1790175814163,0,0,DESOCUPADO,0,28,55,120,0,0
1790175816163,sala01,27,1790175816163,0,0,DESOCUPADO,0,28,55,120,0,0
1790175818163,sala01,28,1790175818163,0,0,DESOCUPADO,0,28,55,120,0,0
1790175820163,sala01,29,1790175820163,0,0,DESOCUPADO,0,28,55,120,0,0
1790175822163,sala01,30,1790175822163,0,0,DESOCUPADO,0,28,55,120,0,0
1790175824163,sala01,31,1790175824163,0,0,DESOCUPADO,0,28,55,120,0,0
