recebidoEm,dispositivo,seq,ts,latenciaMs,perdidas,estado,pir,temperatura,umidade,lux,luz,hvac
1790175765164,sala01,0,1790175765164,0,0,DESOCUPADO,0,28,55,120,0,0
1790175767164,sala01,1,1790175767164,0,0,DESOCUPADO,0,28,55,120,0,0
1790175769164,sala01,2,1790175769164,0,0,DESOCUPADO,0,28,55,120,0,0
1790175771164,sala01,3,1790175771164,0,0,DESOCUPADO,0,28,55,120,0,0
1790175773164,sala01,4,1790175773164,0,0,DESOCUPADO,0,28,55,120,0,0
1790175775164,sala01,5,1790175775164,0,0,OCUPADO,1,28,55,120,1,1
1790175777164,sala01,6,1790175777164,0,0,OCUPADO,1,28,55,120,1,1
1790175779164,sala01,7,1790175779164,0,0,OCUPADO,1,28,55,120,1,1
1790175781164,sala01,8,1790175781164,0,0,OCUPADO,0,28,55,120,1,1
1790175783164,sala01,9,1790175783164,0,0,OCUPADO,0,28,55,120,1,1
1790175785164,sala01,10,1790175785164,0,0,OCUPADO,0,28,55,120,1,1
1790175787164,sala01,11,1790175787164,0,0,OCUPADO,0,28,55,120,1,1
1790175789164,sala01,12,1790175789164,0,0,OCUPADO,0,28,55,120,1,1
1790175791164,sala01,13,1790175791164,0,0,OCUPADO,0,28,55,120,1,1
1790175793164,sala01,14,1790175793164,0,0,OCUPADO,0,28,55,120,1,1
1790175795164,sala01,15,1790175795164,0,0,OCUPADO,0,28,55,120,1,1
1790175797164,sala01,16,1790175797164,0,0,OCUPADO,0,28,55,120,1,1
1790175799164,sala01,17,1790175799164,0,0,OCUPADO,0,28,55,120,1,1
1790175801164,sala01,18,1790175801164,0,0,OCUPADO,0,28,55,120,1,1
1790175803164,sala01,19,1790175803164,0,0,OCUPADO,0,28,55,120,1,1
1790175805164,sala01,20,1790175805164,0,0,OCUPADO,0,28,55,120,1,1
1790175807164,sala01,21,1790175807164,0,0,OCUPADO,0,28,55,120,1,1
1790175809164,sala01,22,1790175809164,0,0,OCUPADO,0,28,55,120,1,1
1790175810164,sala01,23,1790175810164,0,0,DESOCUPADO,0,28,55,120,0,0
1790175812164,sala01,24,1790175812164,0,0,DESOCUPADO,0,28,55,120,0,0
1790175814164,sala01,25,1790175814164,0,0,DESOCUPADO,0,28,55,120,0,0
1790175816164,sala01,26,1790175816164,0,0,DESOCUPADO,0,28,55,120,0,0
1790175818164,sala01,27,1790175818164,0,0,DESOCUPADO,0,28,55,120,0,0
1790175820164,sala01,28,1790175820164,0,0,DESOCUPADO,0,28,55,120,0,0
1790175822164,sala01,29,1790175822164,0,0,DESOCUPADO,0,28,55,120,0,0
1790175824164,sala01,30,1790175824164,0,0,DESOCUPADO,0,28,55,120,0,0
