recebidoEm,dispositivo,seq,ts,latenciaMs,perdidas,estado,pir,temperatura,umidade,lux,luz,hvac
1790175765164,sala01,0,1790175765164,0,0,DESOCUPADO,0,28,55,120,0,0
1790175767164,sala01,1,1790175767164,0,0,DESOCUPADO,0,28,55,120,0,0
1790175769164,sala01,2,1790175769164,0,0,DESOCUPADO,0,28,55,120,0,0
1790175771164,sala01,3,1790175771164,0,0,DESOCUPADO,0,28,55,120,0,0
1790175773164,sala01,4,1790175773164,0,0,DESOCUPADO,0,28,55,120,0,0
1790175775164,sala01,5,1790175775164,0,0,OCUPADO,1,28,55,120,1,1
1790175777164,sala01,6,1790175777164,0,0,OCUPADO,1,28,55,120,1,1
1790175779164,sala01,7,1790175779164,0,0,OCUPADO,1,28,55,120,1,1
1790175781164,sala01,8,1790175781164,0,0,OCUPADO,0,28,55,120,1,1
1790175783164,sala01,9,1790175783164,0,0,OCUPADO,0,28,55,120,1,1
1790175785164,sala01,10,1790175785164,0,0,OCUPADO,0,28,55,120,1,1
1790175787164,sala01,11,1790175787164,0,0,OCUPADO,0,28,55,120,1,1
1790175789164,sala01,12,1790175789164,0,0,OCUPADO,0,28,55,120,1,1
1790175790164,sala01,13,1790175790164,0,0,DESOCUPADO,0,28,55,120,0,0
1790175792164,sala01,14,1790175792164,0,0,DESOCUPADO,0,28,55,120,0,0
1790175794164,sala01,15,1790175794164,0,0,DESOCUPADO,0,28,55,120,0,0
1790175796164,sala01,16,1790175796164,0,0,DESOCUPADO,0,28,55,120,0,0
1790175798164,sala01,17,1790175798164,0,0,DESOCUPADO,0,28,55,120,0,0
1790175800164,sala01,18,1790175800164,0,0,DESOCUPADO,0,28,55,120,0,0
1790175802164,sala01,19,1790175802164,0,0,DESOCUPADO,0,28,55,120,0,0
1790175804164,sala01,20,1790175804164,0,0,DESOCUPADO,0,28,55,120,0,0
