recebidoEm,dispositivo,seq,ts,latenciaMs,perdidas,estado,pir,temperatura,umidade,lux,luz,hvac
1790175633603,sala01,1,1790175633601,2,0,DESOCUPADO,0,28,55,120,0,0
1790175635620,sala01,2,1790175635619,1,0,DESOCUPADO,0,28,55,120,0,0
1790175637639,sala01,3,1790175637638,1,0,DESOCUPADO,0,28,55,120,0,0
1790175639657,sala01,4,1790175639656,1,0,DESOCUPADO,0,28,55,120,0,0
1790175641677,sala01,5,1790175641676,1,0,DESOCUPADO,0,28,55,120,0,0
1790175643697,sala01,6,1790175643695,2,0,DESOCUPADO,0,28,55,120,0,0
1790175645714,sala01,7,1790175645712,2,0,DESOCUPADO,0,28,55,120,0,0
1790175647731,sala01,8,1790175647730,1,0,DESOCUPADO,0,28,55,120,0,0
1790175649750,sala01,9,1790175649748,2,0,DESOCUPADO,0,28,55,120,0,0
1790175651768,sala01,10,1790175651768,0,0,DESOCUPADO,0,28,55,120,0,0
1790175653788,sala01,11,1790175653788,0,0,DESOCUPADO,0,28,55,120,0,0
1790175655806,sala01,12,1790175655806,0,0,DESOCUPADO,0,28,55,120,0,0
1790175657824,sala01,13,1790175657823,1,0,DESOCUPADO,0,28,55,120,0,0
1790175659843,sala01,14,1790175659842,1,0,DESOCUPADO,0,28,55,120,0,0
1790175661862,sala01,15,1790175661861,1,0,DESOCUPADO,0,28,55,120,0,0
1790175663879,sala01,16,1790175663878,1,0,DESOCUPADO,0,28,55,120,0,0
1790175665897,sala01,17,1790175665896,1,0,DESOCUPADO,0,28,55,120,0,0
1790175667917,sala01,18,1790175667916,1,0,DESOCUPADO,0,28,55,120,0,0
1790175669937,sala01,19,1790175669936,1,0,DESOCUPADO,0,28,55,120,0,0
1790175671953,sala01,20,1790175671953,0,0,DESOCUPADO,0,28,55,120,0,0
1790175673974,sala01,21,1790175673972,2,0,DESOCUPADO,0,28,55,120,0,0
1790175675995,sala01,22,1790175675994,1,0,DESOCUPADO,0,28,55,120,0,0
1790175678037,sala01,23,1790175678036,1,0,DESOCUPADO,0,28,55,120,0,0
1790175680074,sala01,24,1790175680071,3,0,DESOCUPADO,0,28,55,120,0,0
1790175682108,sala01,25,1790175682107,1,0,DESOCUPADO,0,28,55,120,0,0
1790175684144,sala01,26,1790175684143,1,0,DESOCUPADO,0,28,55,120,0,0
1790175686179,sala01,27,1790175686178,1,0,DESOCUPADO,0,28,55,120,0,0
1790175688213,sala01,28,1790175688212,1,0,DESOCUPADO,0,28,55,120,0,0
1790175690251,sala01,29,1790175690250,1,0,DESOCUPADO,0,28,55,120,0,0
1790175692285,sala01,30,1790175692284,1,0,DESOCUPADO,0,28,55,120,0,0
1790175694316,sala01,31,1790175694316,0,0,DESOCUPADO,0,28,55,120,0,0
1790175696354,sala01,32,1790175696353,1,0,DESOCUPADO,0,28,55,120,0,0
1790175698386,sala01,33,1790175698386,0,0,DESOCUPADO,0,28,55,120,0,0
1790175700421,sala01,34,1790175700421,0,0,DESOCUPADO,0,28,55,120,0,0
1790175702456,sala01,35,1790175702454,2,0,DESOCUPADO,0,28,55,120,0,0
1790175704491,sala01,36,1790175704489,2,0,DESOCUPADO,0,28,55,120,0,0
1790175706522,sala01,37,1790175706521,1,0,DESOCUPADO,0,28,55,120,0,0
1790175708555,sala01,38,1790175708554,1,0,DESOCUPADO,0,28,55,120,0,0
1790175710591,sala01,39,1790175710591,0,0,DESOCUPADO,0,28,55,120,0,0
1790175712628,sala01,40,1790175712627,1,0,DESOCUPADO,0,28,55,120,0,0
1790175714657,sala01,41,1790175714656,1,0,DESOCUPADO,0,28,55,120,0,0
1790175716686,sala01,42,1790175716685,1,0,DESOCUPADO,0,28,55,120,0,0
1790175718718,sala01,43,1790175718717,1,0,DESOCUPADO,0,28,55,120,0,0
1790175720755,sala01,44,1790175720754,1,0,DESOCUPADO,0,28,55,120,0,0
1790175722786,sala01,45,1790175722785,1,0,DESOCUPADO,0,28,55,120,0,0
