roteiro;arquivo;tOcupadoMs;janelaConfMs;pulsosConf;confirmacaoPorNivelMs;ativou;atraso_s;ocupado_s;ocupacao_real_s;ocupado_indevido_s;cauda_s;desocupado_indevido_s;luz_ligada_s;hvac_ligado_s;reducao_luz_pct;reducao_hvac_pct;leituras;perdidas
CT-07 S1 passagem isolada — A janela desativada;docs/experimentos/roteiros/ct07/s1-a.json;30000;0;1;0;sim;0.0;35.0;0.0;35.0;0.0;0.0;35.0;35.0;76.7;76.7;76;0
CT-07 S1 passagem isolada — B janela 10 s, 2 pulsos;docs/experimentos/roteiros/ct07/s1-b.json;30000;10000;2;0;nao;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;76;0
CT-07 S1 passagem isolada — C janela 20 s, 2 pulsos;docs/experimentos/roteiros/ct07/s1-c.json;30000;20000;2;0;nao;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;76;0
CT-07 S1 passagem isolada — D janela 10 s, 2 pulsos ou 7 s em alto;docs/experimentos/roteiros/ct07/s1-d.json;30000;10000;2;7000;nao;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;76;0
CT-07 S2 duas passagens (60 s) — A janela desativada;docs/experimentos/roteiros/ct07/s2-a.json;30000;0;1;0;sim;0.0;70.0;0.0;70.0;0.0;0.0;70.0;70.0;53.3;53.3;77;0
CT-07 S2 duas passagens (60 s) — B janela 10 s, 2 pulsos;docs/experimentos/roteiros/ct07/s2-b.json;30000;10000;2;0;nao;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;77;0
CT-07 S2 duas passagens (60 s) — C janela 20 s, 2 pulsos;docs/experimentos/roteiros/ct07/s2-c.json;30000;20000;2;0;nao;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;77;0
CT-07 S2 duas passagens (60 s) — D janela 10 s, 2 pulsos ou 7 s em alto;docs/experimentos/roteiros/ct07/s2-d.json;30000;10000;2;7000;nao;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;77;0
CT-07 S3 permanencia, mov. continuo — A janela desativada;docs/experimentos/roteiros/ct07/s3-a.json;30000;0;1;0;sim;0.0;115.0;80.0;0.0;35.0;0.0;115.0;115.0;23.3;23.3;76;0
CT-07 S3 permanencia, mov. continuo — B janela 10 s, 2 pulsos;docs/experimentos/roteiros/ct07/s3-b.json;30000;10000;2;0;nao;;0.0;80.0;0.0;0.0;80.0;0.0;0.0;100.0;100.0;76;0
