recebidoEm,dispositivo,seq,ts,latenciaMs,perdidas,estado,pir,temperatura,umidade,lux,luz,hvac
1790175765106,sala01,0,1790175765106,0,0,DESOCUPADO,0,28,55,120,0,0
1790175767106,sala01,1,1790175767106,0,0,DESOCUPADO,0,28,55,120,0,0
1790175769106,sala01,2,1790175769106,0,0,DESOCUPADO,0,28,55,120,0,0
1790175771106,sala01,3,1790175771106,0,0,DESOCUPADO,0,28,55,120,0,0
1790175773106,sala01,4,1790175773106,0,0,DESOCUPADO,0,28,55,120,0,0
1790175775106,sala01,5,1790175775106,0,0,OCUPADO,1,28,55,120,1,1
1790175777106,sala01,6,1790175777106,0,0,OCUPADO,1,28,55,120,1,1
1790175779106,sala01,7,1790175779106,0,0,OCUPADO,1,28,55,120,1,1
1790175781106,sala01,8,1790175781106,0,0,OCUPADO,0,28,55,120,1,1
1790175783106,sala01,9,1790175783106,0,0,OCUPADO,0,28,55,120,1,1
1790175785106,sala01,10,1790175785106,0,0,OCUPADO,0,28,55,120,1,1
1790175787106,sala01,11,1790175787106,0,0,OCUPADO,0,28,55,120,1,1
1790175789106,sala01,12,1790175789106,0,0,OCUPADO,0,28,55,120,1,1
1790175791106,sala01,13,1790175791106,0,0,OCUPADO,0,28,55,120,1,1
1790175793106,sala01,14,1790175793106,0,0,OCUPADO,0,28,55,120,1,1
1790175795106,sala01,15,1790175795106,0,0,OCUPADO,0,28,55,120,1,1
1790175797106,sala01,16,1790175797106,0,0,OCUPADO,0,28,55,120,1,1
1790175799106,sala01,17,1790175799106,0,0,OCUPADO,0,28,55,120,1,1
1790175801106,sala01,18,1790175801106,0,0,OCUPADO,0,28,55,120,1,1
1790175803106,sala01,19,1790175803106,0,0,OCUPADO,0,28,55,120,1,1
1790175805106,sala01,20,1790175805106,0,0,OCUPADO,0,28,55,120,1,1
1790175807106,sala01,21,1790175807106,0,0,OCUPADO,0,28,55,120,1,1
1790175809106,sala01,22,1790175809106,0,0,OCUPADO,0,28,55,120,1,1
1790175810106,sala01,23,1790175810106,0,0,DESOCUPADO,0,28,55,120,0,0
1790175812106,sala01,24,1790175812106,0,0,DESOCUPADO,0,28,55,120,0,0
1790175814106,sala01,25,1790175814106,0,0,DESOCUPADO,0,28,55,120,0,0
1790175816106,sala01,26,1790175816106,0,0,DESOCUPADO,0,28,55,120,0,0
1790175818106,sala01,27,1790175818106,0,0,DESOCUPADO,0,28,55,120,0,0
1790175820106,sala01,28,1790175820106,0,0,DESOCUPADO,0,28,55,120,0,0
1790175822106,sala01,29,1790175822106,0,0,DESOCUPADO,0,28,55,120,0,0
