recebidoEm,dispositivo,seq,ts,latenciaMs,perdidas,estado,pir,temperatura,umidade,lux,luz,hvac
1790175765115,sala01,0,1790175765115,0,0,DESOCUPADO,0,28,55,120,0,0
1790175767115,sala01,1,1790175767115,0,0,DESOCUPADO,0,28,55,120,0,0
1790175769115,sala01,2,1790175769115,0,0,DESOCUPADO,0,28,55,120,0,0
1790175771115,sala01,3,1790175771115,0,0,DESOCUPADO,0,28,55,120,0,0
1790175773115,sala01,4,1790175773115,0,0,DESOCUPADO,0,28,55,120,0,0
1790175775115,sala01,5,1790175775115,0,0,CONFIRMANDO,1,28,55,120,0,0
1790175777115,sala01,6,1790175777115,0,0,CONFIRMANDO,1,28,55,120,0,0
1790175779115,sala01,7,1790175779115,0,0,CONFIRMANDO,1,28,55,120,0,0
1790175781115,sala01,8,1790175781115,0,0,CONFIRMANDO,0,28,55,120,0,0
1790175783115,sala01,9,1790175783115,0,0,OCUPADO,1,28,55,120,1,1
1790175785115,sala01,10,1790175785115,0,0,OCUPADO,1,28,55,120,1,1
1790175787115,sala01,11,1790175787115,0,0,OCUPADO,1,28,55,120,1,1
1790175789115,sala01,12,1790175789115,0,0,OCUPADO,0,28,55,120,1,1
1790175791115,sala01,13,1790175791115,0,0,OCUPADO,1,28,55,120,1,1
1790175793115,sala01,14,1790175793115,0,0,OCUPADO,1,28,55,120,1,1
1790175795115,sala01,15,1790175795115,0,0,OCUPADO,1,28,55,120,1,1
1790175797115,sala01,16,1790175797115,0,0,OCUPADO,0,28,55,120,1,1
1790175799115,sala01,17,1790175799115,0,0,OCUPADO,1,28,55,120,1,1
1790175801115,sala01,18,1790175801115,0,0,OCUPADO,1,28,55,120,1,1
1790175803115,sala01,19,1790175803115,0,0,OCUPADO,1,28,55,120,1,1
1790175805115,sala01,20,1790175805115,0,0,OCUPADO,0,28,55,120,1,1
1790175807115,sala01,21,1790175807115,0,0,OCUPADO,1,28,55,120,1,1
1790175809115,sala01,22,1790175809115,0,0,OCUPADO,1,28,55,120,1,1
1790175811115,sala01,23,1790175811115,0,0,OCUPADO,1,28,55,120,1,1
1790175813115,sala01,24,1790175813115,0,0,OCUPADO,0,28,55,120,1,1
1790175815115,sala01,25,1790175815115,0,0,OCUPADO,1,28,55,120,1,1
1790175817115,sala01,26,1790175817115,0,0,OCUPADO,1,28,55,120,1,1
1790175819115,sala01,27,1790175819115,0,0,OCUPADO,1,28,55,120,1,1
1790175821115,sala01,28,1790175821115,0,0,OCUPADO,0,28,55,120,1,1
1790175823115,sala01,29,1790175823115,0,0,OCUPADO,1,28,55,120,1,1
1790175825115,sala01,30,1790175825115,0,0,OCUPADO,1,28,55,120,1,1
1790175827115,sala01,31,1790175827115,0,0,OCUPADO,1,28,55,120,1,1
1790175829115,sala01,32,1790175829115,0,0,OCUPADO,0,28,55,120,1,1
1790175831115,sala01,33,1790175831115,0,0,OCUPADO,1,28,55,120,1,1
1790175833115,sala01,34,1790175833115,0,0,OCUPADO,1,28,55,120,1,1
1790175835115,sala01,35,1790175835115,0,0,OCUPADO,1,28,55,120,1,1
1790175837115,sala01,36,1790175837115,0,0,OCUPADO,0,28,55,120,1,1
1790175839115,sala01,37,1790175839115,0,0,OCUPADO,1,28,55,120,1,1
1790175841115,sala01,38,1790175841115,0,0,OCUPADO,1,28,55,120,1,1
1790175843115,sala01,39,1790175843115,0,0,OCUPADO,1,28,55,120,1,1
