recebidoEm,dispositivo,seq,ts,latenciaMs,perdidas,estado,pir,temperatura,umidade,lux,luz,hvac
1790175765116,sala01,0,1790175765116,0,0,DESOCUPADO,0,28,55,120,0,0
1790175767116,sala01,1,1790175767116,0,0,DESOCUPADO,0,28,55,120,0,0
1790175769116,sala01,2,1790175769116,0,0,DESOCUPADO,0,28,55,120,0,0
1790175771116,sala01,3,1790175771116,0,0,DESOCUPADO,0,28,55,120,0,0
1790175773116,sala01,4,1790175773116,0,0,DESOCUPADO,0,28,55,120,0,0
1790175775116,sala01,5,1790175775116,0,0,CONFIRMANDO,1,28,55,120,0,0
1790175777116,sala01,6,1790175777116,0,0,CONFIRMANDO,1,28,55,120,0,0
1790175779116,sala01,7,1790175779116,0,0,CONFIRMANDO,1,28,55,120,0,0
1790175781116,sala01,8,1790175781116,0,0,CONFIRMANDO,0,28,55,120,0,0
1790175783116,sala01,9,1790175783116,0,0,OCUPADO,1,28,55,120,1,1
1790175785116,sala01,10,1790175785116,0,0,OCUPADO,1,28,55,120,1,1
1790175787116,sala01,11,1790175787116,0,0,OCUPADO,1,28,55,120,1,1
1790175789116,sala01,12,1790175789116,0,0,OCUPADO,0,28,55,120,1,1
1790175791116,sala01,13,1790175791116,0,0,OCUPADO,1,28,55,120,1,1
1790175793116,sala01,14,1790175793116,0,0,OCUPADO,1,28,55,120,1,1
1790175795116,sala01,15,1790175795116,0,0,OCUPADO,1,28,55,120,1,1
1790175797116,sala01,16,1790175797116,0,0,OCUPADO,0,28,55,120,1,1
1790175799116,sala01,17,1790175799116,0,0,OCUPADO,1,28,55,120,1,1
1790175801116,sala01,18,1790175801116,0,0,OCUPADO,1,28,55,120,1,1
1790175803116,sala01,19,1790175803116,0,0,OCUPADO,1,28,55,120,1,1
1790175805116,sala01,20,1790175805116,0,0,OCUPADO,0,28,55,120,1,1
1790175807116,sala01,21,1790175807116,0,0,OCUPADO,1,28,55,120,1,1
