recebidoEm,dispositivo,seq,ts,latenciaMs,perdidas,estado,pir,temperatura,umidade,lux,luz,hvac
1790175765117,sala01,0,1790175765117,0,0,DESOCUPADO,0,28,55,120,0,0
1790175767117,sala01,1,1790175767117,0,0,DESOCUPADO,0,28,55,120,0,0
1790175769117,sala01,2,1790175769117,0,0,DESOCUPADO,0,28,55,120,0,0
1790175771117,sala01,3,1790175771117,0,0,DESOCUPADO,0,28,55,120,0,0
1790175773117,sala01,4,1790175773117,0,0,DESOCUPADO,0,28,55,120,0,0
1790175775117,sala01,5,1790175775117,0,0,CONFIRMANDO,1,28,55,120,0,0
1790175777117,sala01,6,1790175777117,0,0,CONFIRMANDO,1,28,55,120,0,0
1790175779117,sala01,7,1790175779117,0,0,CONFIRMANDO,1,28,55,120,0,0
1790175781117,sala01,8,1790175781117,0,0,CONFIRMANDO,0,28,55,120,0,0
1790175783117,sala01,9,1790175783117,0,0,CONFIRMANDO,0,28,55,120,0,0
1790175785117,sala01,10,1790175785117,0,0,CONFIRMANDO,0,28,55,120,0,0
1790175787117,sala01,11,1790175787117,0,0,CONFIRMANDO,0,28,55,120,0,0
1790175789117,sala01,12,1790175789117,0,0,CONFIRMANDO,0,28,55,120,0,0
1790175791117,sala01,13,1790175791117,0,0,CONFIRMANDO,0,28,55,120,0,0
1790175793117,sala01,14,1790175793117,0,0,CONFIRMANDO,0,28,55,120,0,0
1790175795117,sala01,15,1790175795117,0,0,CONFIRMANDO,0,28,55,120,0,0
1790175795217,sala01,16,1790175795217,0,0,DESOCUPADO,0,28,55,120,0,0
1790175797217,sala01,17,1790175797217,0,0,DESOCUPADO,0,28,55,120,0,0
1790175799217,sala01,18,1790175799217,0,0,DESOCUPADO,0,28,55,120,0,0
1790175801217,sala01,19,1790175801217,0,0,DESOCUPADO,0,28,55,120,0,0
1790175803217,sala01,20,1790175803217,0,0,DESOCUPADO,0,28,55,120,0,0
1790175805217,sala01,21,1790175805217,0,0,DESOCUPADO,0,28,55,120,0,0
1790175807217,sala01,22,1790175807217,0,0,DESOCUPADO,0,28,55,120,0,0
1790175809217,sala01,23,1790175809217,0,0,DESOCUPADO,0,28,55,120,0,0
1790175811217,sala01,24,1790175811217,0,0,DESOCUPADO,0,28,55,120,0,0
